timestamp,A_Pre1945,B_19461983,C_19842010,D_Post2011,Average of temperatureatmospherique
1/11/2020 11:00,4.7212,3.360427119,2.768213333,1.979776744,-23.23333333
1/11/2020 12:00,4.5921,3.058616949,2.5328,2.239032558,-22.46666667
1/11/2020 13:00,4.0114,3.158115254,3.29504,2.225469767,-22.1
1/11/2020 14:00,4.2014,3.016698305,2.864746667,1.954716279,-21.66666667
1/11/2020 15:00,4.0515,3.573498305,3.536533333,2.166865116,-21.3
1/11/2020 16:00,4.4348,3.352332203,3.428906667,2.728967442,-21.33333333
1/11/2020 17:00,5.1714,3.463566102,3.53536,2.821172093,-21.56666667
1/11/2020 18:00,5.5865,3.626867797,3.478346667,3.227274419,-21.93333333
1/11/2020 19:00,5.2298,3.448535593,3.380533333,2.751460465,-22.76666667
1/11/2020 20:00,5.2776,3.618040678,3.822773333,2.430027907,-22.4
1/11/2020 21:00,5.1472,3.273742373,3.37056,2.580669767,-22.5
1/11/2020 22:00,4.2662,3.21040678,3.21456,2.162455814,-22.36666667
1/11/2020 23:00,4.2643,3.330305085,2.87568,2.390065116,-21.6
1/12/2020 0:00,4.4081,2.980657627,2.715893333,2.067404651,-20.4
1/12/2020 1:00,4.391,3.102183051,2.55488,1.899906977,-18.93333333
1/12/2020 2:00,3.9538,3.085077966,2.56096,2.137451163,-17.13333333
1/12/2020 3:00,4.2761,2.867450847,2.568533333,2.273804651,-16.13333333
1/12/2020 4:00,4.8005,2.995342373,2.482773333,2.486009302,-15.13333333
1/12/2020 5:00,5.0081,3.015030508,3.020746667,2.431367442,-14.63333333
1/12/2020 6:00,4.7226,3.088555932,3.12752,2.359088372,-15.7
1/12/2020 7:00,5.4627,3.236094915,3.000586667,2.471832558,-15.06666667
1/12/2020 8:00,5.5994,2.895538983,2.991306667,2.555553488,-14.73333333
1/12/2020 9:00,4.8925,3.413532203,2.516533333,2.127851163,-14.06666667
1/12/2020 10:00,5.5686,2.910549153,2.66352,2.369693023,-13.3
